height,block_time,num_txs,marker_present,extended_proposal_bytes,fsm_state,zk_proof_ref_present,other_tx_bytes,likely_recovery_proof_tx
120,2026-08-12T16:43:39.284525384Z,1,True,249,SOVEREIGN,False,0,False
121,2026-08-12T16:43:40.538978717Z,1,True,249,SOVEREIGN,False,0,False
122,2026-08-12T16:43:41.751796468Z,1,True,249,SOVEREIGN,False,0,False
123,2026-08-12T16:43:42.95378826Z,1,True,249,SOVEREIGN,False,0,False
124,2026-08-12T16:43:44.123837011Z,1,True,249,SOVEREIGN,False,0,False
125,2026-08-12T16:43:45.393226261Z,1,True,249,SOVEREIGN,False,0,False
126,2026-08-12T16:43:46.603876054Z,1,True,249,SOVEREIGN,False,0,False
127,2026-08-12T16:43:47.812424013Z,1,True,249,SOVEREIGN,False,0,False
128,2026-08-12T16:43:49.077906722Z,1,True,249,SOVEREIGN,False,0,False
129,2026-08-12T16:43:50.286383722Z,1,True,249,SOVEREIGN,False,0,False
130,2026-08-12T16:43:51.562846167Z,1,True,249,SOVEREIGN,False,0,False
131,2026-08-12T16:43:52.785073209Z,1,True,249,SOVEREIGN,False,0,False
132,2026-08-12T16:43:54.02637446Z,1,True,249,SOVEREIGN,False,0,False
133,2026-08-12T16:43:55.221897377Z,1,True,249,SOVEREIGN,False,0,False
134,2026-08-12T16:43:56.433001086Z,1,True,249,SOVEREIGN,False,0,False
135,2026-08-12T16:43:57.734040211Z,1,True,249,SOVEREIGN,False,0,False
136,2026-08-12T16:43:58.865269504Z,1,True,249,SOVEREIGN,False,0,False
137,2026-08-12T16:44:00.167881088Z,1,True,249,SOVEREIGN,False,0,False
138,2026-08-12T16:44:01.482363338Z,1,True,249,SOVEREIGN,False,0,False
139,2026-08-12T16:44:02.798605255Z,1,True,249,SOVEREIGN,False,0,False
140,2026-08-12T16:44:04.111890464Z,1,True,249,SOVEREIGN,False,0,False
141,2026-08-12T16:44:05.428833673Z,1,True,249,SOVEREIGN,False,0,False
142,2026-08-12T16:44:06.738625466Z,1,True,249,SOVEREIGN,False,0,False
143,2026-08-12T16:44:08.05345755Z,1,True,249,SOVEREIGN,False,0,False
144,2026-08-12T16:44:09.271400425Z,1,True,249,SOVEREIGN,False,0,False
145,2026-08-12T16:44:10.578664092Z,1,True,249,SOVEREIGN,False,0,False
